County,T1_1AGE18M,T1_1AGE19M,T1_1AGE20_24M,T1_1AGE25_29M,T1_1AGE30_34M,T1_1AGE35_39M,T1_1AGE40_44M,T1_1AGE45_49M,T1_1AGE50_54M,T1_1AGE55_59M,T1_1AGE60_64M,T1_1AGE65_69M,T1_1AGE70_74M,T1_1AGE75_79M,T1_1AGE80_84M,T1_1AGEGE_85M,T1_1AGE18T,T1_1AGE19T,T1_1AGE20_24T,T1_1AGE25_29T,T1_1AGE30_34T,T1_1AGE35_39T,T1_1AGE40_44T,T1_1AGE45_49T,T1_1AGE50_54T,T1_1AGE55_59T,T1_1AGE60_64T,T1_1AGE65_69T,T1_1AGE70_74T,T1_1AGE75_79T,T1_1AGE80_84T,T1_1AGEGE_85T,T6_1_HB_H,T6_1_FA_H,T6_1_BS_H,T6_1_CM_H,T6_1_TH,T6_1_HB_P,T6_1_FA_P,T6_1_BS_P,T6_1_CM_P,T6_1_TP,T6_3_OMLH,T6_3_OOH,T6_3_RPLH,T6_3_RLAH,T6_3_RVCHBH,T6_3_OFRH,T6_3_NSH,T6_3_TH,T6_3_OMLP,T6_3_OOP,T6_3_RPLP,T6_3_RLAP,T6_3_RVCHBP,T6_3_OFRP,T6_3_NSP,T6_3_TP,T6_10_NORE,T6_10_RE,T6_10_NS,T6_10_T,T10_4_NFT,T10_4_PT,T10_4_LST,T10_4_UST,T10_4_TVT,T10_4_ACCAT,T10_4_HCT,T10_4_ODNDT,T10_4_HDPQT,T10_4_PDT,T10_4_DT,T10_4_NST,T10_4_TT,T9_2_HA,T9_2_HB,T9_2_HC,T9_2_HD,T9_2_HE,T9_2_HF,T9_2_HG,T9_2_HH,T9_2_HI,T9_2_HJ,T9_2_HZ,T9_2_HT,T9_2_PA,T9_2_PB,T9_2_PC,T9_2_PD,T9_2_PE,T9_2_PF,T9_2_PG,T9_2_PH,T9_2_PI,T9_2_PJ,T9_2_PZ,T9_2_PT,T11_1_FW,T11_1_BIW,T11_1_BUW,T11_1_TDLW,T11_1_MW,T11_1_CDW,T11_1_CPW,T11_1_VW,T11_1_OTHW,T11_1_WMFHW,T11_1_NSW,T11_1_TW,T11_1_FSCCC,T11_1_BISCCC,T11_1_BUSCCC,T11_1_TDLSCCC,T11_1_MSCCC,T11_1_CDSCCC,T11_1_CPSCCC,T11_1_VSCCC,T11_1_OTHSCCC,T11_1_WMFHSCCC,T11_1_NSSCCC,T11_1_TSCCC,T11_1_FT,T11_1_BIT,T11_1_BUT,T11_1_TDLT,T11_1_MT,T11_1_CDT,T11_1_CPT,T11_1_VT,T11_1_OTHT,T11_1_WMFHT,T11_1_NST,T11_1_TT,T15_1_NC,T15_1_1C,T15_1_2C,T15_1_3C,T15_1_GE4C,T15_1_NSC,T15_1_TC,Total_Males_18plus,Total_Females_18plus
Carlow,437,446,2000,1666,1804,2153,2444,2227,2065,1883,1636,1443,1242,916,530,341,903,827,3781,3292,3714,4530,4907,4552,4125,3806,3322,2911,2481,1839,1185,888,20624,1542,8,64,22238,58441,2959,12,134,61546,5987,8375,3584,2170,606,383,1069,22174,20380,19906,9687,6117,1659,816,2847,61412,13671,5931,2572,22174,840,3547,6586,7339,3746,2720,2508,2749,4536,3177,272,2593,40613,2424,234,1011,6637,2468,1961,854,809,954,372,4514,22238,7454,709,2928,18609,7477,5595,2390,2314,2828,1081,10161,61546,1843,336,257,241,55,15206,1382,2207,224,2948,1907,26606,3144,240,2056,143,14,751,8404,27,19,63,1262,16123,4987,576,2313,384,69,15957,9786,2234,243,3011,3169,42729,2510,8235,7408,1651,683,1687,22174,23233,23830
Cavan,574,479,2203,1999,2273,2870,3105,2830,2789,2590,2265,1998,1681,1178,712,561,1107,915,4232,3911,4687,5976,6334,5689,5484,5041,4457,3959,3272,2399,1456,1415,27406,1365,5,69,28845,78159,2455,10,125,80749,8184,11735,4614,2124,244,618,1257,28776,29176,27991,12834,5557,541,1260,3265,80624,18426,7384,2966,28776,1987,4868,8163,9814,5132,3883,3383,3710,5271,3461,208,2880,52760,2951,320,1115,8203,3368,2757,1131,1375,1927,688,5010,28845,9345,963,3477,23318,10350,8145,3036,4139,5298,1909,10769,80749,2097,170,564,43,39,21171,1652,3915,402,2863,2130,35046,2757,96,4842,56,1,874,11335,98,25,84,1537,21705,4854,266,5406,99,40,22045,12987,4013,427,2947,3667,56751,2887,10589,10381,2256,959,1704,28776,30107,30227
Clare,860,829,3539,2991,3204,3974,4578,4619,4504,4157,3787,3320,2887,2157,1214,858,1690,1650,6958,5992,6663,8412,9670,9466,9214,8454,7532,6627,5851,4414,2573,2192,43666,2769,6,112,46553,118494,5376,9,250,124129,13187,20188,6457,2929,574,940,2166,46441,44130,46248,16815,7928,1426,1885,5447,123879,27417,14241,4783,46441,1735,5942,11185,16910,6705,5568,5028,7155,10575,8243,763,5482,85291,5217,612,2577,15429,4020,3858,1591,2136,2438,692,7983,46553,15537,1763,7718,41562,11305,10581,4225,5993,6416,1772,17257,124129,3060,538,723,125,119,34132,2327,4205,369,5859,3862,55319,5187,409,4272,166,5,1937,18382,98,32,178,2523,33189,8247,947,4995,291,124,36069,20709,4303,401,6037,6385,88508,4190,17483,16978,3554,1310,2926,46441,47478,49880
Cork,3803,3933,17765,16412,17602,20422,22611,21337,19428,18001,15701,13484,11471,8474,5006,3695,7434,7635,35214,32810,36598,42784,46500,42765,38758,35859,31552,27150,23281,17852,11296,9882,190254,20602,62,444,211362,533306,41016,85,1034,575441,59148,80370,37618,18346,3237,3807,8392,210918,201238,188972,96881,50499,7743,7562,21512,574407,134001,55960,20957,210918,7502,25034,51821,69294,30021,23766,21805,32423,53233,43683,5342,21535,385459,25522,3505,14939,69920,19127,17940,6174,8238,7750,2592,35655,211362,77875,10742,43856,191347,54911,50395,16058,23425,22495,6858,77479,575441,20720,3499,9569,1361,706,149237,10590,16831,1509,31773,15796,261591,28542,1555,21789,897,78,8456,79612,297,142,883,9170,151421,49262,5054,31358,2258,784,157693,90202,17128,1651,32656,24966,413012,25434,75718,73670,16034,6619,13443,210918,219145,228225
Donegal,1175,930,4328,3692,4360,5112,5908,5889,5794,5272,4681,4500,3877,3044,1832,1193,2285,1813,8372,7436,9132,10747,12294,11929,11635,10746,9700,8880,7771,6036,3816,3120,58997,2541,37,205,61780,159582,4402,78,439,164501,14712,28395,8377,5102,608,1733,2648,61575,51124,66395,21329,13271,1212,3762,6969,164062,42919,12325,6331,61575,4350,13860,18499,20097,8376,5404,6342,8026,12009,8904,655,5763,112285,6117,654,2419,20685,5638,5291,2688,2957,2679,1499,11153,61780,18095,1825,7046,57041,16573,14232,6802,8589,7364,4171,22763,164501,3613,308,782,43,50,38940,3460,7602,641,7492,3973,66904,3843,148,10886,66,8,1951,23142,162,53,170,2631,43060,7456,456,11668,109,58,40891,26602,7764,694,7662,6604,109964,6965,25116,20742,3870,1407,3475,61575,61587,64125
Dublin,8813,9454,48921,54570,57155,58328,59256,50718,44280,37879,33126,27590,23308,17460,10860,8280,17816,18891,99564,109979,116851,119694,120471,102268,89587,78335,68809,58475,49952,38372,25516,23349,378215,139056,1219,533,519023,1105082,306581,2044,1335,1415042,148511,154543,125146,49306,10833,6067,24084,518490,486095,349860,336324,136986,27777,13151,63514,1413707,386639,66417,65434,518490,18836,61625,99180,154071,61361,40157,46609,78494,149733,148720,15866,79921,954573,79675,9339,44170,196605,33326,31268,14078,17089,644,990,91839,519023,235275,27495,122457,532580,96979,87628,39113,51867,1880,2845,216923,1415042,67042,41673,78028,45676,4798,263692,17050,20833,1407,87220,61880,689299,113747,22714,49131,15725,320,8587,107393,304,430,2139,36650,357140,180789,64387,127159,61401,5118,272279,124443,21137,1837,89359,98530,1046439,103603,207180,130361,23380,7138,46828,518490,549998,587931
Galway,1844,1970,9172,7677,8026,9401,10862,9967,9062,8112,7270,6539,5460,4022,2557,1835,3579,4015,18576,15374,16790,19852,22155,20429,18263,16363,14736,13241,11080,8291,5458,4816,87340,11221,93,268,98922,246990,24060,158,671,271879,27017,38180,20075,5185,1295,2040,4862,98654,91937,90498,54742,14096,3090,4281,12564,271208,62076,24937,11641,98654,4066,12882,20176,31347,13096,9801,9755,15793,25550,23050,3133,12164,180813,11129,1358,7341,32181,7237,8174,2956,4134,4240,1514,18658,98922,34185,4114,21960,89202,21723,23311,7749,12121,10997,4055,42462,271879,8992,2542,4240,524,273,70263,4453,8655,781,13770,9338,123831,11628,1691,11771,412,27,3775,38294,235,59,491,5408,73791,20620,4233,16011,936,300,74038,42747,8890,840,14261,14746,197622,10737,36037,34859,6808,2700,7513,98654,103776,109242
Kerry,985,880,3937,3551,3990,4855,5825,5625,5583,5147,4936,4547,4019,3004,1653,1108,1928,1678,7783,7047,8271,10460,11987,11345,11034,10409,9955,9099,7923,6052,3581,2912,54861,3310,8,138,58317,143823,6082,16,228,150149,13202,27458,8377,4683,691,1458,2310,58179,44456,61966,21436,11764,1606,2978,5715,149921,34937,17379,5863,58179,2724,8811,15808,20617,8700,7245,6566,9143,11987,8565,708,6232,107106,6293,814,2407,19073,5163,4318,2047,2857,3697,1113,10535,58317,18247,2423,6798,50241,14266,11653,5042,7718,9761,2853,21147,150149,5363,896,669,124,129,38369,2523,6416,443,6886,4072,65890,4284,349,5757,157,5,2057,21222,97,40,236,2650,36854,9647,1245,6426,281,134,40426,23745,6513,483,7122,6722,102744,6150,22987,19930,4248,1536,3328,58179,59645,61819
Kildare,1888,1744,7650,6428,7315,9266,10516,9700,8672,7091,5785,4925,3955,2943,1396,943,3596,3490,14808,12952,15393,19514,21449,19562,17091,14300,11638,10063,8137,5903,3113,2504,74504,8017,22,250,82793,228177,17512,39,557,246285,32264,26634,12339,5649,1458,1134,3065,82543,111128,65809,35882,17523,4241,2526,8619,245728,53538,21526,7479,82543,3230,9251,19363,29120,11860,9475,9452,13703,22866,19085,1787,7614,156806,14188,1077,5698,29716,7383,5908,2194,3187,1324,781,11337,82793,45954,3423,18010,88062,23150,18106,6349,10029,3830,2114,27258,246285,6044,1439,4635,4985,421,65408,4460,7218,500,13439,5483,114032,16796,2409,9539,2039,25,2724,30859,88,64,377,3951,68871,22840,3848,14174,7024,446,68132,35319,7306,564,13816,9434,182903,6551,29216,32732,6792,2703,4549,82543,90217,93296
Kilkenny,715,562,2738,2491,2847,3355,3987,3927,3521,3307,3005,2661,2250,1640,984,694,1414,1125,5157,5045,5789,7156,8080,7886,7093,6683,6073,5238,4409,3398,2110,1901,34918,1766,1,102,36787,98616,3380,6,284,102286,10831,15425,4647,3102,716,718,1246,36685,37378,37315,12390,8578,1670,1443,3228,102002,21736,11643,3306,36685,1694,4971,10806,12892,5497,5044,4222,5431,9107,6382,403,3331,69780,4603,532,1805,11927,3756,2823,1264,1658,2165,669,5585,36787,14224,1666,5607,33626,10994,7878,3278,4928,6515,1768,11802,102286,3560,575,509,180,105,27940,1757,3654,334,4994,2121,45729,3997,234,4798,159,15,1366,14655,71,12,142,1560,27009,7557,809,5307,339,120,29306,16412,3725,346,5136,3681,72738,3594,13033,13714,3157,1288,1899,36685,38684,39873
Laois,665,593,2562,2267,2624,3506,3798,3396,3226,2711,2412,2013,1605,1157,643,434,1299,1130,4932,4412,5397,7317,7752,6824,6208,5337,4675,3959,3134,2403,1370,1112,29592,1518,2,120,31232,87200,3018,2,279,90499,10509,11602,4003,2634,715,554,1095,31112,36510,28343,11355,7885,2008,1168,2951,90220,19676,8438,2998,31112,1544,4490,8896,12181,5067,3937,3452,4310,6588,4438,262,3264,58429,3574,320,1253,10489,3311,2645,995,1237,1603,528,5277,31232,11405,967,3973,31055,10234,7837,2802,3746,4653,1557,12270,90499,2086,373,585,823,64,23951,1876,3622,350,3459,2495,39684,3437,425,4019,427,7,966,14048,60,35,138,1916,25478,5523,798,4604,1250,71,24917,15924,3682,385,3597,4411,65162,2853,11430,11560,2473,1092,1704,31112,33612,33649
Leitrim,229,162,825,734,847,1111,1280,1236,1223,1153,1094,1053,878,641,370,282,449,329,1544,1435,1870,2317,2638,2480,2462,2305,2118,2089,1717,1270,785,712,12955,631,3,41,13630,33629,1113,4,62,34808,3348,6276,2002,936,119,396,512,13589,11388,13828,4934,2185,263,829,1319,34746,8227,4108,1254,13589,823,1881,3459,4297,2083,1585,1504,2044,2727,2027,142,1167,23739,1340,188,593,4612,1236,1035,434,681,848,351,2312,13630,3932,509,1785,12033,3396,2654,1086,1865,2069,873,4606,34808,682,78,143,67,18,9124,497,1589,150,1500,819,14667,1143,48,1843,75,2,410,4754,33,12,61,521,8902,1825,126,1986,142,20,9534,5251,1622,162,1561,1340,23569,1304,5475,4889,872,359,690,13589,13118,13402
Limerick,1396,1467,6955,6222,6395,7352,7942,7536,6915,6157,5732,5183,4432,3182,1874,1278,2701,2889,13682,12513,13070,15252,16133,14876,13516,12328,11428,10302,8963,6760,4193,3370,67442,8800,53,177,76472,186401,19168,117,506,206192,19619,29689,13497,5693,1242,1428,5127,76295,65710,68813,36984,15458,2875,2948,12898,205686,47038,18120,11137,76295,3173,11080,20031,25463,9989,7947,7451,10147,17260,12757,1450,11502,138250,7603,998,4873,23798,6552,6271,2764,2649,2983,809,17172,76472,22989,2922,14513,65410,18805,16994,7174,7559,8278,2049,39499,206192,7088,1314,2585,160,226,49907,3686,5518,535,9195,9583,89797,10575,853,7195,129,39,3688,26207,118,47,265,5107,54223,17663,2167,9780,289,265,53595,29893,5636,582,9460,14690,144020,9824,27283,23815,5301,2165,7907,76295,80018,81958
Longford,337,287,1353,1119,1314,1572,1908,1726,1567,1405,1240,1115,1030,721,398,292,609,563,2528,2293,2749,3347,3822,3418,3105,2743,2460,2235,1988,1495,833,781,15305,897,4,23,16229,41886,1976,4,54,43920,3631,6214,2807,2035,219,273,1027,16206,12407,14139,8079,5367,559,537,2778,43866,10061,3715,2430,16206,1076,2686,4331,5569,2662,1705,1758,2018,2809,1934,137,3645,30330,1566,163,563,4554,1656,1523,563,639,851,275,3876,16229,4702,468,1709,12606,4742,4263,1483,1852,2273,696,9126,43920,1257,261,242,169,21,10632,865,1504,184,1485,2929,19549,1774,98,2333,179,1,371,5731,28,19,53,1606,12193,3031,359,2575,348,22,11003,6596,1532,203,1538,4535,31742,1966,6375,4920,958,357,1630,16206,17384,17585
Louth,999,894,4335,3570,4051,4657,5325,5044,4918,4184,3542,3042,2486,1880,1168,720,1952,1770,8394,7219,8468,9998,11126,10325,9794,8333,7080,6078,5155,4074,2550,2041,45783,3535,14,92,49424,130906,7341,16,186,138449,15891,16985,7443,4992,1137,705,2179,49332,53646,39257,20543,14384,3138,1512,5783,138263,33600,10180,5552,49332,2940,7873,13699,16686,7255,5125,5064,7090,10490,7296,565,5807,89890,5923,548,2305,16939,4819,4524,1856,1927,764,394,9425,49424,18250,1674,6866,48199,14337,12887,5000,5840,2255,1151,21990,138449,5342,1154,2386,677,151,31844,3004,3979,289,5613,4292,58731,8357,637,6528,259,10,1204,16869,73,28,165,3166,37296,13699,1791,8914,936,161,33048,19873,4052,317,5778,7458,96027,7422,19365,14834,2901,1132,3678,49332,50815,53542
Mayo,873,734,3168,2930,3582,4442,4774,4647,4650,4559,4387,4157,3699,2683,1552,1162,1749,1418,6268,5816,7392,9191,9989,9439,9339,9228,8902,8301,7301,5301,3344,3081,49368,2619,9,118,52114,130272,4592,24,241,135129,12950,24929,7885,2533,533,1248,1918,51996,43994,55917,20309,6319,1012,2540,4797,134888,33513,13392,5091,51996,3237,9011,13318,20063,7164,5571,5101,7521,10647,7604,577,4508,94322,5311,650,2380,16387,4997,4742,2016,2426,3140,1174,8891,52114,15621,1854,6888,43281,14057,13006,5148,6683,7662,3078,17851,135129,3924,457,482,103,74,35651,2214,5842,476,5248,3003,57474,3924,331,5952,124,3,1566,19066,123,37,198,1913,33237,7848,788,6434,227,77,37217,21280,5965,513,5446,4916,90711,5490,20658,18479,3473,1349,2547,51996,51999,54060
Meath,1593,1507,6525,5185,6206,7988,9061,8710,7792,6537,5176,4338,3590,2576,1459,982,3089,2892,12279,10351,13178,16804,18818,17558,15421,12811,10364,8732,7318,5348,3120,2541,66965,5574,10,428,72977,206663,12571,15,793,220042,30191,24331,9079,4361,782,1181,2624,72549,106807,60415,26444,12936,2409,2804,7434,219249,45009,21258,6282,72549,3173,9150,18771,27445,11303,9276,8657,11949,17899,13814,1003,5986,138426,11515,891,4086,25372,7702,5437,2203,3380,2033,906,9452,72977,38568,2853,13322,76588,24232,16577,6329,10888,5957,2535,22193,220042,5051,651,4937,1244,278,60673,3965,7801,622,11039,4249,100510,14534,1362,12150,622,11,2196,27627,95,53,291,3599,62540,19585,2013,17087,1866,289,62869,31592,7896,675,11330,7848,163050,5002,24506,30117,6554,2710,3660,72549,79225,81399
Monaghan,404,412,1788,1631,1800,2265,2454,2361,2166,1923,1829,1664,1380,1034,538,427,799,734,3314,3114,3723,4667,4966,4649,4202,3891,3654,3225,2769,2051,1219,1133,21819,1032,4,103,22958,62217,1972,7,233,64429,6385,9759,3420,1764,232,567,728,22855,23261,23187,9517,4648,539,1187,1857,64196,14972,5749,2134,22855,1782,4006,7569,7645,3553,2656,2307,2965,4559,2726,154,2088,42010,2417,220,790,6362,2944,2322,937,1066,1683,567,3650,22958,7713,684,2508,18323,8903,6605,2466,3210,4845,1631,7541,64429,1843,198,381,39,31,17160,1472,3357,338,2093,1326,28238,2069,71,3739,41,5,781,9977,60,16,59,981,17799,3912,269,4120,80,36,17941,11449,3417,354,2152,2307,46037,2251,8512,8412,1753,832,1095,22855,24076,24034
Offaly,637,545,2362,2065,2284,2775,3133,3090,2811,2594,2328,2035,1703,1230,702,572,1221,1018,4569,4137,4757,5761,6524,6072,5581,5138,4667,4013,3439,2545,1552,1409,27359,1338,5,221,28923,78918,2712,7,505,82142,8599,11941,3758,2211,399,563,1231,28702,29981,28955,10398,6641,1141,1188,3333,81637,18030,7574,3098,28702,1786,4888,9032,11260,4362,3780,3256,3766,5304,3856,236,3122,54648,3109,269,1155,8591,3368,2780,1097,1168,1462,559,5365,28923,9794,811,3598,24978,10356,8068,3056,3519,4290,1553,12119,82142,2388,509,449,398,59,21161,1627,3212,330,2900,2010,35043,3385,262,3656,283,6,992,11195,42,12,94,1613,21540,5773,771,4105,681,65,22153,12822,3254,342,2994,3623,56583,2949,10601,10070,2384,979,1719,28702,30866,31537
Roscommon,487,373,1686,1514,1781,2278,2523,2501,2409,2349,2180,2061,1678,1267,738,612,899,728,3253,2969,3653,4753,5212,4931,4732,4622,4386,4035,3343,2514,1585,1564,25121,854,0,46,26021,67315,1669,0,95,69079,6850,12395,3563,1484,150,508,1025,25975,23364,28106,9827,3777,314,957,2639,68984,16548,6737,2690,25975,1420,3812,7091,9742,3745,2945,2790,3781,5356,3873,266,2347,47168,2747,323,1138,8363,2536,2144,799,1221,1712,583,4455,26021,8280,976,3430,22921,7243,5811,2112,3453,4237,1460,9156,69079,1243,205,282,190,30,18582,1126,2855,328,2761,1726,29328,1848,127,2921,184,3,847,10575,75,23,90,1120,17813,3091,332,3203,374,33,19429,11701,2930,351,2851,2846,47141,2271,10067,9550,1981,689,1417,25975,26437,26742
Sligo,435,419,2025,1649,1720,2268,2529,2383,2307,2201,2110,1892,1722,1214,720,559,897,922,4039,3292,3644,4752,5193,4924,4585,4517,4354,3929,3420,2565,1552,1437,24603,2190,8,54,26855,64217,3824,17,131,68189,6674,11297,4428,2367,383,542,1110,26801,22263,24763,10639,5893,761,1060,2679,68058,17264,6669,2868,26801,870,3612,6247,8920,3744,2822,2802,4147,6017,4661,509,2746,47097,2635,369,1665,9586,2051,2076,871,1115,1238,444,4805,26855,7643,1030,4830,24947,5525,5291,2066,3064,3030,1166,9597,68189,2425,371,382,85,55,17164,1144,2390,226,3730,2025,29997,3016,237,2705,80,13,920,9822,65,10,96,1136,18100,5441,608,3087,165,68,18084,10966,2455,236,3826,3161,48097,3350,10422,9055,1676,567,1731,26801,26153,27869
Tipperary,1089,930,4526,4019,4384,5272,6134,6098,5713,5601,4989,4606,3798,2840,1647,1268,2135,1776,8765,7895,9125,11216,12551,12186,11386,11057,9965,8974,7636,5862,3617,3267,59347,2679,30,176,62232,161027,4899,47,485,166458,16256,26768,8336,5660,1006,1376,2654,62056,55360,62184,22046,14853,2199,2806,6525,165973,35924,19859,6273,62056,2932,9237,18222,23810,9096,7575,6455,8076,12128,8267,726,6011,112535,6258,766,2523,18586,6479,5720,2293,2618,4167,1389,11433,62232,18775,2272,7710,50890,18525,15879,5883,7471,11820,3665,23568,166458,5736,576,544,324,124,44624,3124,5647,715,6983,4296,72693,5929,202,6115,259,5,2399,24641,77,34,191,2702,42554,11665,778,6659,583,129,47023,27765,5724,749,7174,6998,115247,6921,22896,21376,5050,1987,3826,62056,62914,64499
Waterford,882,826,3768,3163,3599,4164,4818,4479,4259,4166,3601,3197,2633,2085,1243,910,1699,1593,7327,6417,7464,8827,9892,9172,8544,8282,7289,6347,5394,4292,2673,2326,43615,4051,16,96,47778,117362,7741,34,218,125355,12602,18207,7595,5405,975,820,2078,47682,42181,41025,19044,13927,2246,1635,5079,125137,29894,12332,5456,47682,1765,6945,12782,16008,6987,5220,4821,6209,10395,7483,800,5804,85219,4821,626,2673,15531,4305,4715,1977,1731,1601,673,9125,47778,14041,1848,7694,41780,11944,12903,4943,4764,4658,1825,18955,125355,4627,802,1273,78,178,31658,2679,3277,330,5855,4082,54839,5692,605,4181,61,35,1606,17287,68,31,186,2586,32338,10319,1407,5454,139,213,33264,19966,3345,361,6041,6668,87177,6399,18352,15188,2965,1138,3640,47682,47793,49745
Westmeath,641,585,2820,2575,2844,3522,3612,3397,3229,2878,2597,2277,1832,1320,792,626,1264,1117,5434,5175,5912,7303,7460,6869,6453,5880,5168,4588,3670,2815,1726,1570,30731,3262,10,84,34087,87802,6649,12,200,94663,10013,12975,6122,2475,261,563,1594,34003,34142,30474,16499,7182,787,1199,4180,94463,20931,9074,3998,34003,1708,4724,8807,12078,4795,3798,3764,4998,7500,5721,437,4479,62809,4095,399,1813,11187,3157,2827,1111,1359,1279,416,6444,34087,12388,1221,5513,31408,9398,8264,3021,4004,3606,1137,14703,94663,2914,518,900,354,72,24390,1905,3303,314,3875,3236,41781,4217,421,3612,374,11,1079,13009,47,29,126,2111,25036,7131,939,4512,728,83,25469,14914,3350,343,4001,5347,66817,3645,12668,11625,2523,965,2577,34003,35547,36857
Wexford,1142,941,4302,3839,4510,5142,6000,5772,5711,5201,4755,4218,3612,2684,1664,1073,2226,1813,8429,7865,9407,11060,12601,11781,11464,10770,9686,8417,7216,5526,3470,2774,56127,2949,5,308,59389,155556,5282,6,682,161526,16222,24998,8269,5076,864,1323,2329,59081,54848,58915,21728,13954,2254,2954,6191,160844,35126,18339,5616,59081,3597,10172,18703,22585,9436,6986,6209,7751,11853,7778,550,5565,111185,7006,697,2254,19152,5930,5178,2137,2715,2718,1101,10501,59389,21103,2000,6580,52973,17224,14573,5834,7673,8140,2993,22433,161526,4891,549,968,160,137,41295,3340,6300,535,6939,3789,68903,5392,261,7169,174,8,1818,22585,69,42,218,2801,40537,10283,810,8137,334,145,43113,25925,6369,577,7157,6590,109440,6029,22716,20316,4611,2121,3288,59081,60566,63939
Wicklow,997,965,4193,3439,4000,5162,6178,5959,5399,4841,4267,3524,3053,2374,1336,902,2012,1865,7941,7067,8526,11179,13000,12109,10927,9927,8700,7277,6264,4883,2893,2344,48853,5181,25,152,54211,142476,10942,39,337,153794,18424,20049,7191,4970,601,919,1905,54059,63749,47647,19092,14119,1770,2046,5034,153457,32522,16827,4710,54059,2490,6861,13462,18225,8157,6277,6427,9136,14124,11911,1261,4755,103086,8995,1002,3293,19093,4423,3627,1519,2444,1180,655,7980,54211,28372,2965,9976,54275,13151,10491,4103,7332,3465,1770,17894,153794,4280,679,2580,2712,268,37307,2488,4533,412,9548,3450,68257,8963,756,5869,1340,12,1617,19687,48,44,265,2320,40921,13243,1435,8449,4052,280,38924,22175,4581,456,9813,5770,109178,5158,20059,19735,4369,1873,2865,54059,56589,60325
Ireland,33900,32867,155446,147398,160517,183212,200561,185174,169993,151899,134431,117382,99281,73726,43588,31607,66752,64596,307143,295808,332223,382869,411524,373504,340003,307165,272670,238144,202884,154260,96586,84441,1595770,239299,1659,4424,1841152,4524517,509292,2808,10064,5046681,531207,679718,330632,153192,29880,31864,80235,1836728,1796653,1580928,885758,421847,75240,67034,209157,5036617,1213695,420114,202919,1836728,81280,251219,446007,613478,253892,190268,187488,272535,450523,379416,38212,220311,3384629,237034,26874,116839,628978,156952,141864,58549,72816,57080,21734,322432,1841152,719767,80177,340752,1737255,459800,399627,156548,214046,158622,58565,721522,5046681,178111,60671,119095,60885,8481,1199481,84666,146265,12744,259467,163872,2293738,278180,36541,204828,24431,669,54938,606378,2558,1348,7259,102540,1319670,456291,97212,323923,85316,9150,1254419,691044,148823,14092,266726,266412,3613408,245455,696979,594716,121594,46658,131326,1836728,1920982,2009590
