%Total_Males_20plus,%Total_Females_20plus,%T1_1AGE20_24T,%T1_1AGE25_29T,%T1_1AGE30_34T,%T1_1AGE35_39T,%T1_1AGE40_44T,%T1_1AGE45_49T,%T1_1AGE50_54T,%T1_1AGE55_59T,%T1_1AGE60_64T,%T1_1AGE65_69T,%T1_1AGE70_74T,%T1_1AGE75_79T,%T1_1AGE80_84T,%T1_1AGEGE_85T,%T6_1_HB_H,%T6_1_FA_H,%T6_1_BS_H,%T6_1_CM_H,%T6_1_HB_P,%T6_1_FA_P,%T6_1_BS_P,%T6_1_CM_P,%T6_3_OMLH,%T6_3_OOH,%T6_3_RPLH,%T6_3_RLAH,%T6_3_RVCHBH,%T6_3_OFRH,%T6_3_OMLP,%T6_3_OOP,%T6_3_RPLP,%T6_3_RLAP,%T6_3_RVCHBP,%T6_3_OFRP,%T6_10_NORE,%T6_10_RE,%T10_4_NFT,%T10_4_PT,%T10_4_LST,%T10_4_UST,%T10_4_TVT,%T10_4_ACCAT,%T10_4_HCT,%T10_4_ODNDT,%T10_4_HDPQT,%T10_4_PDT,%T10_4_DT,%T9_2_HA,%T9_2_HB,%T9_2_HC,%T9_2_HD,%T9_2_HE,%T9_2_HF,%T9_2_HG,%T9_2_HH,%T9_2_HI,%T9_2_HJ,%T9_2_PA,%T9_2_PB,%T9_2_PC,%T9_2_PD,%T9_2_PE,%T9_2_PF,%T9_2_PG,%T9_2_PH,%T9_2_PI,%T9_2_PJ,%T11_1_FW,%T11_1_BIW,%T11_1_BUW,%T11_1_TDLW,%T11_1_CDW,%T11_1_FSCCC,%T11_1_BISCCC,%T11_1_BUSCCC,%T11_1_TDLSCCC,%T11_1_CDSCCC,%T11_1_ACT,%T11_1_PUT,%T11_1_CDT,%T15_1_1C,%T15_1_2C+,%Total BEVs
72.51313996496009,73.79117703717974,6.1015362767880195,5.312419313193907,5.993415956622774,7.310224632068165,7.91860315001291,7.3457268267492895,6.656661502711077,6.141879679834753,5.360831396849987,4.6975858507616834,4.003679318357862,2.967660728117738,1.912277304415182,1.4329976762199845,92.74215307131936,6.934076805468117,0.035974458134724344,0.28779566507779475,94.95499301335586,4.807786046209339,0.019497611542586033,0.2177233288922107,27.000090195724724,37.76945972760891,16.163073870298547,9.786236132407323,2.732930459096239,1.727248128438712,33.18569660652641,32.41386048329316,15.7737901387351,9.960594020712565,2.701426431316355,1.328730541262294,61.65328763416614,26.747542166501308,2.068303252653091,8.733656710905375,16.216482407111023,18.0705685371679,9.223647600522,6.697362913352867,6.175362568635658,6.768768620884938,11.168837564326694,7.822618373427227,0.6697362913352868,10.900260814821475,1.052252900440687,4.546272146775789,29.845309830020682,11.098120334562461,8.818239050274306,3.8402734058818235,3.637917078873999,4.289954132565878,1.672812303264682,12.111266369869691,1.1519838819744581,4.757417216390992,30.23592109966529,12.148636791992981,9.090761381730738,3.883274298898385,3.75978942579534,4.594937120202776,1.7564098397946253,6.927008945350672,1.2628730361572578,0.9659475306321882,0.9058107193866046,57.15252198752161,19.500093034795015,1.4885567202133598,12.751969236494448,0.8869317124604602,4.657942070334305,13.019260923494583,6.311872498771326,37.34466053499965,37.13808965455038,43.93433751240191,17.293233082706767
70.75986361422308,71.98602499753962,5.179672965827867,4.7867913443650245,5.736561245471458,7.314207382747479,7.752374424752766,6.9629393909722905,6.712033682561441,6.169832566337021,5.455057279937335,4.845539998041712,4.004699892294135,2.9362087535493977,1.782042494859493,1.731861353177323,95.01126711735137,4.732189287571503,0.017334026694401112,0.23920956838273533,96.79252993845125,3.0402853286108806,0.012384054291694015,0.1548006786461752,28.440366972477065,40.78051153739227,16.034195162635527,7.381150959132611,0.8479288295802058,2.147623019182652,36.187735661837664,34.71794999007739,15.918336971621352,6.892488589005755,0.6710160746179797,1.56281008136535,64.0325271059216,25.660272449263278,3.7661106899166032,9.226686884003033,15.471948445792266,18.601213040181953,9.727065959059894,7.359742228961334,6.412054586808188,7.031842304776345,9.990523123578468,6.559893858984078,0.39423805913570886,10.230542555035536,1.1093777084416712,3.865487952851447,28.43820419483446,11.676200381348588,9.557982319292773,3.920956838273531,4.766857340960305,6.680533888022187,2.385162073149593,11.572898735588057,1.1925844282901337,4.305935677222009,28.877137797372104,12.817496191903304,10.086812220584775,3.7597988829583024,5.125760071332152,6.561071963739488,2.3641159642843874,5.983564458140729,0.48507675626319696,1.6093134737202535,0.12269588540774981,60.40917651087142,12.702142363510713,0.44229440221147204,22.30822391154112,0.258005067956692,4.026721953466943,9.02186745608007,9.70026959877359,38.84513048228225,36.798026132888516,47.24770642201835,12.270916334661354
72.77683297042134,74.17449747004814,5.438571808219606,4.683518579311855,5.207991370820241,6.575059794588004,7.558348575091061,7.398896340414889,7.201925932873736,6.607888195844862,5.887226625396677,5.179852741171505,4.573308946520971,3.450108646375588,2.011130391283278,1.7133298941674875,93.79846626425794,5.948059201340407,0.012888535647541513,0.24058599875410822,95.46036784313094,4.330978256491231,0.007250521634750945,0.20140337874308178,28.395168062703213,43.47020951314571,13.903662711827911,6.306927068753902,1.2359768308175967,2.024073555694322,35.6234712905335,37.33320417504177,13.573729203496962,6.399793346733507,1.1511232735168995,1.5216461224259157,59.03619646433109,30.664714368768976,2.0342122850007622,6.966737404884454,13.113927612526528,19.826241924704835,7.861321827625424,6.5282386183770855,5.895112028232756,8.388927319412364,12.398729056993117,9.664560152888347,0.8945844227409692,11.206581745537344,1.3146306360492344,5.535626060619079,33.142869417652996,8.635318883852813,8.287328421369192,3.4176100358730905,4.588318690524778,5.237041651451034,1.4864777780164544,12.516817182125047,1.4202966268962127,6.217725108556421,33.482908909279864,9.107460786762159,8.524196601922194,3.403717100758082,4.828041795229157,5.168816312062451,1.4275471485309636,5.531553354182107,0.9725410799182922,1.3069650572136156,0.2259621468211645,61.700319962399895,15.62867215041128,1.2323360149447107,12.871734610865046,0.500165717557022,5.836271053662358,10.387761558277218,5.972341483255751,40.75224838432684,37.645614866174284,47.03171766327168,17.17171717171717
73.19115788744828,74.79978734283517,6.0281842521518225,5.616650346825163,6.265107265867337,7.32407096734434,7.96020241168455,7.320818411520211,6.634871506926232,6.138599963023576,5.401296913838085,4.647731085531947,3.985408007450065,3.056032977492314,1.9337300310191115,1.6916714028444457,90.01334203877708,9.747258258343505,0.02933356043186571,0.21006614244755442,92.67778972996364,7.1277507164070695,0.014771279766300976,0.17968827386300246,28.04312576451512,38.10485591556908,17.83536729913995,8.698167060184527,1.5347196540835775,1.8049668591585355,35.034043805176466,32.89862414629348,16.86626381642285,8.791501496325777,1.3479988927711537,1.3164881347198067,63.5322732057008,26.531637887709913,1.9462510928529364,6.494594755862491,13.443971991833111,17.977009227959396,7.788376973945348,6.165636293354157,5.656892172708381,8.411530149769495,13.8102885131752,11.332722805797763,1.3858802103466257,12.075018215194785,1.6582924082853117,7.067968698252288,33.08068621606533,9.04940339323057,8.487807647543077,2.9210548726828853,3.897578561898544,3.6666950539832133,1.2263320748289663,13.533098962361043,1.8667422029365306,7.621285240363478,33.25223611108697,9.542420508792388,8.757631103796914,2.790555417497189,4.070790923830592,3.9091757452110647,1.191781607497554,7.920761799909018,1.3375842441062575,3.658000466376901,0.5202778383048346,57.04974559522308,18.849433037689618,1.0269381393597983,14.389681748238356,0.5923881099715363,5.584430164904472,13.151191732927856,8.139230821380492,38.18121507365404,35.899259427834515,45.66845883234243,21.94854553427861
71.84250256658011,73.71305864347661,5.010653324076513,4.450456058030691,5.465514352062436,6.432094036532522,7.357975629024921,7.139522635321156,6.9635632376529175,6.431495535179909,5.805463120346651,5.314692011203945,4.650954011156065,3.612554164372411,2.283881161571425,1.8673242201527374,95.49530592424733,4.112981547426352,0.05988993201683393,0.3318225963094853,97.00974462161325,2.675971574640884,0.04741612512993842,0.26686767861593547,23.89281364190012,46.11449451887942,13.6045473000406,8.285830288266343,0.9874137231019082,2.814453917986196,31.161390206141583,40.46945666882033,13.0005729541271,8.089015128427059,0.7387451085565213,2.29303555972742,69.70198944376776,20.01624035728786,3.874070445740749,12.343589971946386,16.47504118982945,17.898205459322263,7.459589437591842,4.812753261789197,5.648127532617893,7.147882620118448,10.695106202965668,7.929821436523134,0.5833370441287794,9.901262544512788,1.0585950145678213,3.9155066364519264,33.48170929103269,9.125930721916479,8.564260278407252,4.350922628682421,4.786338620912916,4.33635480738103,2.426351570087407,10.999933131105585,1.1094157482325335,4.283256636737771,34.675169147907916,10.07471079203166,8.651619139093379,4.134929270946682,5.221244855654373,4.476568531498288,2.5355468963714505,5.4002750209255055,0.4603611144326199,1.1688389333971063,0.06427119454741122,58.20279803898123,8.924756154203436,0.3437064561077566,25.28100325127729,0.1532745006967023,4.530887134231305,7.195082026845149,10.70986868429668,37.18580626386817,40.78928136419001,42.2557856272838,16.491862567811935
74.51324680566027,76.48815120045988,6.828085373698525,7.54234463575178,8.01362544696925,8.208597994450518,8.261884547174029,7.013525320370825,6.143864091172812,5.372203484679945,4.7189117198869255,4.010207426650409,3.425701263378217,2.6315464621706623,1.74988375713402,1.6012711963208277,72.87056642961872,26.791876275232507,0.2348643509054512,0.10269294424331869,78.09534982000534,21.665858681226425,0.14444800931703794,0.0943434894511965,28.64298250689502,29.80636077841424,24.136627514513297,9.50953731026635,2.0893363420702427,1.1701286427896391,34.384423363539966,24.747702317382597,23.790219614106743,9.689843793657385,1.9648342973473287,0.9302493373803766,74.57019421782483,12.809697390499334,1.9732382960758372,6.455766085988185,10.389985888978632,16.140305665465082,6.428109741214135,4.206802413225599,4.882706718082326,8.222943661720999,15.685861636564201,15.579740889381954,1.6621044173677653,15.350957472019545,1.7993422256817135,8.510220163653633,37.87982420817574,6.420910056009078,6.0243958360226815,2.712403881908894,3.2925323155235895,0.12407927972363461,0.1907429921217364,16.626714966764236,1.9430518670117212,8.653948080693011,37.63704540218594,6.853436152425157,6.1926077105838555,2.764087567718838,3.6654035710600814,0.13285824731704077,0.20105410298775586,9.726113051085234,6.045707305537945,11.319906165539193,6.626442226087663,38.25509684476548,31.849414795318364,6.359970879767038,13.756790054320433,4.403035224281794,2.4043792350338804,23.42955489999895,18.019206088458095,26.01957686974587,39.95834056587398,31.02837084611082,30.42783799201369
73.00013145018768,74.90039274731363,6.688341848583372,5.535452604442332,6.045287448197395,7.147769292532144,7.97697101934564,7.355519790305216,6.575645304730735,5.891544878788206,5.305738882467946,4.767459863107904,3.989385641812218,2.985198227099738,1.9651684867338526,1.7340145533364297,88.29178544711995,11.34328056448515,0.09401346515436404,0.27092052324053295,90.8455599733705,8.849524972506153,0.05811408751687331,0.24680096660646833,27.385610314837717,38.70091430656638,20.34889614207229,5.255742291240092,1.312668518255722,2.0678330326190526,33.899073773634996,33.36848470546592,20.184507831627386,5.197486799799416,1.1393469219197074,1.578493259785847,62.922942810225635,25.277231536481036,2.2487321155005446,7.124487730417614,11.158489710363746,17.336695923412588,7.242842052286064,5.420517330059233,5.395076681433304,8.734438342375825,14.130621138966779,12.747977191905449,1.732729394457257,11.250277996805565,1.3727987707486706,7.420998362346092,32.53169163583429,7.315865024969168,8.263075958836255,2.9882129354440874,4.179050160732698,4.2862052930591785,1.5304987768140554,12.57360811243237,1.5131731395216255,8.077122543484418,32.80944832076034,7.989951412209108,8.574034772821733,2.850164963090198,4.4582332581773505,4.044814053310479,1.4914723093729196,7.261509638135847,2.0527977646954314,3.4240214485871876,0.42315736770275614,56.741042226906025,15.758019270642762,2.2916073775934733,15.951809841308561,0.5583336721280373,5.115800029813935,12.576028984627218,8.575462246106202,37.464452338302415,36.528675978672936,44.972327528534066,19.409641112762795
74.66370320596482,75.97981560875668,4.974497948331182,4.504084163161999,5.286402740671618,6.685500262051157,7.661481036444286,7.251147272750515,7.05237188254995,6.652903654654923,6.362729933911976,5.815618248986949,5.063978831379668,3.8681307443531168,2.2887931585473416,1.8612023674085056,94.07376922681208,5.675874959274311,0.013718126789786855,0.23663768712382324,95.78685172728423,4.050643027925594,0.010656081625585252,0.15184916316458985,22.692036645525018,47.195723542859106,14.398666185393354,8.049296137781674,1.1877137798862132,2.50605888722735,29.65295055395842,41.33243508247677,14.298197050446568,7.846799314305534,1.0712308482467432,1.9863794931997518,60.05087746437718,29.87160315577786,2.543274886560977,8.226429891882809,14.759210501745933,19.24915504266801,8.12279424121898,6.764326928463392,6.1303755158441176,8.536403189363808,11.191716617182976,7.996750882303512,0.6610273934233376,10.791021486016085,1.3958194008608125,4.12744139787712,32.70572903270059,8.85333607695869,7.404358934787454,3.5101256923367115,4.89908602980263,6.339489342730251,1.9085343896290963,12.15259508887838,1.6137303611745666,4.527502680670533,33.46076230943929,9.50122877941245,7.760957448934058,3.3579977222625526,5.140227374141686,6.500875796708602,1.90011255486217,8.139323114281378,1.3598421611777205,1.0153285779329184,0.18819244194870238,58.231901654272264,11.624247028816411,0.946979975036631,15.621099473598523,0.4260053182829544,5.58148369240788,10.601105660671182,6.527875107062213,39.34633652573386,39.51082005534643,44.198078344419805,17.802726543704892
70.24354231568016,72.15645329692394,5.97641399016846,5.227344273410447,6.212516244642295,7.87572545949131,8.656679070443227,7.895097952166087,6.897818173012503,5.771388442693745,4.697022286438448,4.061362370547354,3.284041101971958,2.3824130054000823,1.2563868686787152,1.0105983678674921,89.98828403367435,9.683185776575314,0.026572294759218774,0.30195789499112247,92.6475424812717,7.110461457254806,0.015835312747426764,0.22616074872606937,39.08750590601262,32.26681850671771,14.94857225930727,6.843705704905322,1.7663520831566577,1.3738293980107337,45.22398749837218,26.781237791379088,14.60232452142206,7.131055475973434,1.7258920432347964,1.027965880974085,64.86073925105703,26.078528766824565,2.059870158029667,5.8996466971927095,12.348379526293636,18.570717957221024,7.563486091093454,6.042498373786717,6.027830567707868,8.738823769498616,14.582350165172251,12.171090391949289,1.139624759256661,17.136714456536183,1.3008346116217555,6.882224342637662,35.891923230224776,8.917420554877827,7.135868974430205,2.6499824864420907,3.8493592453468293,1.5991690118729844,0.9433164639522664,18.65887082039101,1.389853218831841,7.31266622002964,35.75613618368963,9.399679233408449,7.351645451407922,2.5779077085490387,4.07211157804982,1.555108918529346,0.8583551576425685,5.300266591833871,1.2619264767784482,4.0646485197137645,4.371579907394415,57.359337729760064,24.387623237647198,3.4978437949209393,13.850532154317492,2.9606075125960127,3.9552206298732413,14.591340765323697,11.589749758068486,37.25034581171441,35.394885090195416,51.15757847424979,28.3598667160311
72.09876067305284,73.85848461082311,4.951036866359447,4.843509984639017,5.557795698924731,6.8701996927803375,7.757296466973887,7.571044546850998,6.809715821812596,6.416090629800307,5.830453149001536,5.028801843317972,4.232910906298002,3.2622887864823347,2.0257296466973886,1.8250768049155146,94.91940087530921,4.800608910756518,0.0027183515915948572,0.2772718623426754,96.41202119547152,3.3044600434077,0.005865905402498876,0.27765285571828013,29.52432874471855,42.047158239062284,12.667302712280224,8.455772113943029,1.9517513970287583,1.9572032165735314,36.64437952197016,36.58261602713672,12.14682065057548,8.40963902668575,1.6372227995529498,1.4146781435658125,59.2503748125937,31.737767479896416,2.4276296933218684,7.123817712811693,15.485812553740328,18.475207795930064,7.877615362568072,7.2284322155345375,6.050444253367727,7.7830323875035825,13.051017483519633,9.145887073660075,0.5775293780452851,12.512572376111125,1.4461630467284639,4.9066246228287165,32.42177943295186,10.210128578030282,7.673906543072281,3.435996411775899,4.507026938864272,5.885231195802866,1.8185772147769592,13.906106407524002,1.6287664000938544,5.481688598635199,32.874489177404534,10.748293999178774,7.7019337934810235,3.2047396515652196,4.81786363725241,6.369395616213362,1.7284867919363356,7.7849942049902685,1.2574077718734282,1.1130792276236086,0.39362330249950794,61.09908373242363,14.798770780110335,0.866377874041986,17.7644488874079,0.5886926580028878,5.057573401458773,11.501553520855675,7.7621050894993,40.28980725343012,35.52678206351369,49.499795556767076,19.337554797856797
69.91226932883876,71.22524616767912,5.36804640987407,4.802072335840308,5.874157841461955,7.9639082686635385,8.437367349826399,7.427321310012299,6.756859714618457,5.808853140611905,5.088324607899692,4.309021844422435,3.4110822077342533,2.6154532690444836,1.4911240027427974,1.2103137890875846,94.74897540983606,4.860399590163935,0.006403688524590164,0.38422131147540983,96.35465585255085,3.334843478933469,0.0022099691709300657,0.3082906993447441,33.77796348675752,37.291077397788634,12.866418102339933,8.466186680380561,2.2981486243250195,1.7806634096168683,40.467745510973174,31.415428951452007,12.585901130569718,8.739747284415872,2.225670583019286,1.294613167812015,63.24247878632039,27.121367960915403,2.6425234044738057,7.684540211196494,15.225316195724725,20.847524345787193,8.672063530096356,6.738092385630424,5.908025124510089,7.376474011193072,11.27522292012528,7.595543308973284,0.4484074688938712,11.443391393442623,1.0245901639344261,4.011910860655737,33.584144467213115,10.601306352459016,8.468878073770492,3.1858350409836067,3.960681352459016,5.132556352459016,1.6905737704918034,12.6023491972287,1.0685200941446866,4.390103758052575,34.31529630161659,11.308412247649144,8.659764196289462,3.0961668084730216,4.139272257152013,5.141493276168798,1.720460999569056,5.256526559822598,0.9399254107448846,1.4741457514363472,2.0738836810805363,60.3542989617982,13.49006986419656,1.668105816783107,15.774393594473663,1.675955726509145,3.7915063976764265,9.700438906110923,8.983763543169331,38.238543936650196,36.73823605039856,48.61468243764464,17.74982529699511
72.50612430923489,73.7560920321886,4.386488252507173,4.076820364214893,5.31265092758317,6.582573368561608,7.494531094633371,7.045654706099605,6.994516889684366,6.548481490951448,6.01721639819313,5.934827693968579,4.877979488053638,3.608057047075201,2.2301769936645925,2.0227847382027897,95.0476889214967,4.62949376375642,0.022010271460014674,0.3008070432868672,96.6128476212365,3.19754079521949,0.011491611123879567,0.1781199724201333,24.63757450879388,46.184413864154834,14.732504231363603,6.887924056221944,0.8757082934726617,2.9141217160938995,32.77499568295631,39.7973867495539,14.200195705980544,6.288493639555632,0.7569216600471997,2.385886145167789,60.541614541173004,30.230333357862975,3.4668688655798476,7.923669910274232,14.5709591810944,18.10101520704326,8.774590336576942,6.6767766123257095,6.3355659463330385,8.610303719617507,11.487425755086566,8.538691604532625,0.5981717848266566,9.83125458547322,1.3793103448275863,4.350696991929567,33.83712399119589,9.068231841526044,7.593543653705062,3.1841526045487893,4.996331621423331,6.221570066030814,2.575201760821717,11.296253734773614,1.4623075155136749,5.128131464031258,34.569639163410706,9.756377844173752,7.624683980694093,3.119972420133303,5.357963686508849,5.944035853826707,2.508044127786716,4.649894320583623,0.5318060953160155,0.9749778414126952,0.4568077998227313,62.20767709824777,12.839811278364413,0.5392046731071669,20.703212761177266,0.8425073017299483,4.6057065827903845,8.27782256353685,9.028809028809029,40.451440451440455,40.289940392964894,45.036426521451176,10.472279260780287
73.86646497912916,75.39777701648205,6.5296655467318265,5.971766188149053,6.237591631032377,7.278940134392181,7.699392944410508,7.099496029321931,6.450442883323153,5.883475870494808,5.45395540623091,4.9165775809407455,4.277546579108125,3.2261759315821625,2.001088118509468,1.6083155161881488,88.19175645988075,11.507479861910241,0.06930641280468668,0.23145726540433098,90.4016644680686,9.296189958873283,0.05674322961123613,0.24540234344688447,25.714660200537388,38.913428140769376,17.690543285929618,7.461825807720033,1.6278917360246412,1.8716822858640803,31.946753789757203,33.45536400143909,17.980805694116274,7.51533891465632,1.3977616366694865,1.433252627791877,61.65279507176093,23.749918081132446,2.295117540687161,8.014466546112116,14.488969258589513,18.418083182640142,7.225316455696203,5.748282097649186,5.3895117540687165,7.339602169981917,12.484629294755877,9.22748643761302,1.0488245931283906,9.942201067057225,1.3050528297939115,6.372266973532796,31.11988701747045,8.567841824458625,8.200387069777173,3.6143948111727173,3.464012972068208,3.9007741395543465,1.0579035463960667,11.149317141305191,1.417125785675487,7.038585396135641,31.722860246760305,9.12014045161791,8.24183285481493,3.479281446418872,3.6660006207806317,4.014704741212074,0.9937339954993404,7.893359466351882,1.4633005556978518,2.8787153245654085,0.17817967192667905,55.57758054277983,19.502794017298932,1.5731331722700699,13.269276875126792,0.23790642347343377,6.8015417811629755,13.768920983196779,6.991390084710456,37.21358144702125,35.75987941542696,41.000065535094045,19.445843828715365
