,County,tonale,a3,a4,a6,a7,a8,e-tron,e-tron gt,q3,q4 etron,q5,q8,q8 e-tron,2 series,3 series,5 series,7 series,i4,ix,ix1,ix3,x1,x2,x3,x5,xm,atto 3,dolphin,seal,berlingo pass,c4,c5 aircross,c5 x,space tourer,born,formentor,leon sp,500,kuga,mach-e,puma,ora 03,civic,cr-v,jazz,zr-v,ioniq 5,ioniq 6,kona,tucson,f-pace,i-pace,compass,cee'd,ev6,ev9,niro,sportage,stonic,defender,discovery sport,range rover,range rover evoque r,range rover sport ra,velar,es,lbx,nx,rx,ux,cx-60,mx,c class,cla class,cle coupe,e class,eqa,eqb,eqe suv,eqv,gla class,glc,gle class,gle coupe,s class,mg4,mg5,zs,ariya,juke,leaf,qashqai,x-trail,astra,grandland x,mokka,208,308,408,508,2008,3008,5008,expert,rifter,polestar 2,cayenne,taycan,captur,megane,leon,enyaq,octavia,smart 1,solterra,swace,vitara,model 3,model y,bz4x,camry,c-hr,corolla,corolla cross,highlander,prius hybrid,rav 4,yaris,yaris cross,arteon,id buzz pc,id.3,id.4,id.5,id.7,t7,tiguan,touareg,up,c40,ex30,xc40,xc60,xc90,q6 e-tron,q7,rs6,i5,ix2,ami,ec4x,c5 aircorss,c4 x,ds4,unidentified,focus,hr-v,tuscon,santa fe,sorento,electre,mazda2,eqe,eqs,eqs suv,glb,gls,mg3,mini cooper,corsa,grandlandx,polestar 4,panamera,scenic,clio,arkana,symbioz,austral,rafale,kodiaq,smart 3,korandoo,torres,swift,golf,v60,duster,cyberster,polestar 3,giulia,sq8,x6,4 series,ds7,ny1,avenger,renegade,amg,a class,b class,e class hearse,hs,mini hatch,korando,rav4,DS3,ds9,600,500c,honda e,e-pace,mini clubman,mini countryman,combo pass,911,tarraco,doblo,panda,superb,C40,a5,galaxy,m5,seal u,tavascan,spring,explorer,ev3,cx-80,aceman,macan,ex90,s-max
0,Dublin,12,51,18,84,18,8,17,22,213,267,108,33,73,81,343,383,36,158,22,198,125,220,11,176,345,14,274,131,337,10,37,22,20,6,177,172,10,22,509,10,301,24,25,19,42,12,189,96,593,1042,14,25,21,165,371,109,491,708,39,83,66,114,47,290,29,73,162,184,87,30,74,16,48,125,102,290,38,67,93,3,72,185,94,43,34,216,94,83,91,296,163,33,133,15,19,35,36,19,40,22,64,262,150,3,12,182,173,71,49,142,20,284,189,16,9,14,110,854,716,204,47,775,1141,638,7,43,1254,789,1122,7,47,400,646,59,151,15,72,48,56,29,149,133,357,269,18,66,1,46,19,3,33,2,2,3,2,77,9,21,114,69,3,5,130,13,21,9,4,36,52,6,1,33,50,28,12,27,17,16,21,44,14,0,7,81,13,23,8,3,22,7,1,1,1,16,4,10,8,15,12,0,3,19,13,3,11,2,1,3,4,0,2,2,28,2,0,9,2,18,10,5,0,1,1,24,4,4,30,10,15,1,21,2,1
1,Cork,1,9,3,9,4,1,3,1,32,33,27,2,7,2,30,73,1,20,0,43,41,49,2,38,76,1,29,34,75,0,2,7,0,1,15,18,2,5,166,2,200,2,8,5,6,3,58,18,155,226,3,1,6,98,55,36,142,332,25,25,11,12,11,59,4,20,70,41,14,9,29,7,12,24,12,44,9,14,3,0,10,36,19,6,4,100,18,37,21,46,50,11,33,3,0,1,4,6,3,1,13,61,49,0,1,6,8,3,31,32,0,36,30,1,0,3,28,174,119,28,11,259,368,252,2,15,467,209,436,0,18,54,82,6,24,2,8,5,3,9,50,37,57,39,1,6,0,4,2,1,1,0,0,1,0,17,2,6,27,44,0,0,19,1,0,0,0,21,8,2,0,0,2,9,2,29,7,18,6,5,0,0,0,24,1,1,3,0,0,1,0,0,0,0,0,2,4,0,2,1,0,8,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,0,0,0,4,2,0,11,1,3,0,0,0,0
2,Louth,0,3,0,0,1,0,0,0,2,5,2,0,1,0,6,2,1,0,1,3,2,4,0,0,8,0,3,6,11,1,1,0,2,0,15,4,2,1,28,0,27,0,2,1,0,0,11,5,26,65,1,0,0,11,18,7,25,44,1,2,0,0,1,6,1,0,4,3,1,0,1,1,4,3,0,13,1,2,0,0,0,6,4,0,0,20,3,11,11,34,13,5,30,0,0,1,1,1,0,0,4,26,5,0,0,1,3,0,2,14,3,11,6,0,0,0,13,25,19,9,2,77,56,48,1,8,78,51,81,1,1,14,26,2,5,3,0,3,4,0,4,3,4,4,0,0,0,0,0,1,1,0,0,0,0,5,0,2,6,10,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,4,4,1,2,0,0,0,0,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
3,Wicklow,0,2,3,0,1,0,0,0,6,13,7,0,0,2,6,8,0,4,0,13,6,10,0,5,5,0,10,18,39,0,2,0,0,0,4,2,0,2,20,2,17,3,1,1,5,0,15,6,48,63,1,0,1,12,18,16,34,34,3,2,3,5,2,8,4,3,6,8,5,1,2,1,1,3,2,4,1,5,1,0,2,2,4,1,0,27,1,8,5,11,28,1,9,3,1,5,0,1,0,1,1,16,8,0,0,14,2,1,3,8,0,33,3,0,3,0,11,96,63,10,1,44,59,40,0,4,67,49,98,2,2,31,43,2,12,0,6,3,4,3,13,5,12,7,1,3,0,1,1,0,0,0,0,0,0,14,0,1,7,5,0,0,2,1,0,0,0,4,1,0,0,2,3,2,0,2,1,2,2,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,0,1,0,0,1,0,0,0,2,0,0
4,Clare,1,2,0,1,0,1,0,0,5,3,1,0,0,0,0,5,0,1,0,7,1,6,1,2,8,0,2,4,2,0,1,1,0,0,3,1,0,0,39,0,43,0,0,3,3,0,7,6,20,50,0,0,0,15,13,6,27,58,7,0,1,2,2,1,0,1,5,9,1,1,0,0,1,1,1,10,3,3,2,1,2,10,4,0,1,17,3,5,6,25,12,5,14,0,0,0,0,1,2,0,1,10,4,0,0,6,0,0,1,2,0,1,3,0,0,0,3,23,9,6,5,42,69,53,1,2,72,38,88,0,1,15,28,3,2,1,4,0,2,1,2,2,4,3,0,0,0,0,0,0,1,0,0,0,0,4,0,1,6,5,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,1,2,1,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
5,Limerick,0,2,0,7,1,0,0,1,4,12,1,1,1,1,5,17,1,3,0,9,3,4,1,6,5,0,12,13,36,0,0,2,0,0,1,4,0,3,58,1,60,0,6,5,5,1,8,9,49,56,0,0,1,29,27,11,38,83,7,5,4,0,2,2,3,1,4,9,3,0,2,0,5,7,5,16,1,1,3,1,5,25,9,2,1,15,4,9,8,22,15,6,26,1,1,0,1,3,1,0,7,24,14,0,0,3,3,0,7,7,1,12,3,0,0,10,6,36,21,10,4,75,119,91,0,4,129,49,155,0,6,18,38,2,8,0,6,4,2,2,5,5,5,3,1,2,0,0,1,0,0,0,0,0,0,11,2,2,10,17,0,0,6,0,0,0,0,3,1,0,0,1,0,2,0,3,1,4,1,0,0,0,1,15,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,2,0,1,0,0,0,13,0,0,2,2,0,0,0,0,0
6,Tipperary,0,2,0,1,0,0,0,1,2,4,2,1,1,0,1,9,0,1,0,7,4,3,0,1,6,0,6,5,9,0,0,0,1,0,1,1,0,0,41,0,44,0,2,3,0,0,9,6,29,64,0,0,1,21,9,2,22,52,1,1,0,1,1,2,0,0,4,1,0,2,1,0,4,1,0,18,1,0,2,0,3,12,3,0,0,10,1,6,3,13,7,3,11,0,0,1,0,3,0,0,2,27,3,1,0,3,2,0,5,5,1,8,5,0,0,1,10,14,11,11,3,62,85,62,1,6,89,49,94,0,0,3,15,2,3,1,0,0,0,0,1,1,5,3,0,2,0,1,0,0,1,0,0,0,0,1,0,1,6,7,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,3,4,0,2,0,0,0,0,10,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
7,Donegal,0,2,0,1,0,1,0,0,2,3,3,0,0,0,2,2,0,0,0,0,1,0,0,4,2,0,0,2,1,1,2,0,0,0,6,2,0,0,31,0,19,0,1,1,0,0,13,5,30,35,1,0,0,22,18,6,41,128,5,3,1,0,1,3,1,10,8,13,4,6,2,0,2,1,2,4,1,0,0,0,0,6,2,0,1,4,5,2,6,13,6,3,7,1,0,3,0,1,1,0,3,18,3,0,1,0,0,0,1,4,2,10,0,0,0,2,19,13,8,6,1,75,58,55,1,3,86,43,67,0,4,5,13,0,2,2,0,0,0,4,9,6,24,6,0,0,0,0,0,0,1,2,0,0,0,4,0,0,2,19,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,2,1,2,0,0,0,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
8,Galway,0,2,1,3,0,0,0,0,25,14,11,2,4,0,7,28,1,3,1,11,3,8,1,5,15,0,3,8,11,5,1,1,0,2,1,8,0,1,42,3,60,0,2,2,4,2,20,2,37,94,0,0,0,20,19,11,33,47,2,3,1,0,0,6,2,15,26,22,12,7,4,1,3,5,4,19,0,5,1,0,7,17,5,4,1,36,8,16,9,24,17,4,8,0,1,0,2,1,2,0,4,25,19,0,0,7,1,1,0,5,3,10,1,0,0,2,7,46,24,12,11,109,130,126,0,6,180,77,181,2,4,35,42,4,17,2,2,2,3,4,11,11,26,12,0,2,0,0,1,0,0,0,0,0,1,6,1,1,16,5,0,0,2,0,0,0,0,3,0,1,0,1,1,2,0,1,4,4,2,2,0,0,0,12,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,2,0,0,5,0,1,0,0,0,0
9,Kilkenny,0,1,0,2,0,0,0,0,4,10,4,0,1,1,2,8,0,0,0,5,1,1,0,1,3,1,4,5,12,0,0,3,0,2,0,0,0,0,25,0,32,6,2,0,1,0,9,5,29,55,0,0,0,12,8,5,22,34,0,0,0,1,0,5,0,2,2,0,1,0,4,0,1,0,2,6,0,2,0,0,2,3,1,0,0,4,0,2,2,12,4,2,9,0,0,0,1,1,0,0,4,27,5,0,0,3,0,2,1,4,2,9,1,0,0,0,1,16,7,5,2,44,42,36,0,4,40,31,77,0,2,13,19,1,3,1,0,0,2,1,6,9,11,6,0,0,0,1,0,0,1,0,0,0,0,6,0,3,7,5,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,6,1,1,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,2,1,0,0,0,0,0
10,Meath,0,3,0,4,2,0,1,0,2,9,6,1,1,0,6,11,1,2,1,7,7,11,1,7,19,0,12,20,35,1,4,3,1,0,9,7,1,0,44,0,36,0,1,1,2,1,22,13,70,117,2,0,0,15,42,17,43,74,4,5,2,2,0,8,0,6,6,17,4,0,6,0,4,4,8,14,2,1,0,0,3,15,6,1,1,28,4,9,16,24,32,2,29,2,1,2,5,4,1,0,10,26,16,0,1,7,4,1,2,4,0,17,12,0,0,0,6,84,70,25,7,94,112,75,1,8,168,63,145,1,1,20,62,5,12,0,1,1,3,5,6,9,14,11,1,2,0,1,0,0,2,0,0,0,0,5,0,4,9,14,0,0,1,1,0,0,0,4,5,0,0,0,2,1,0,3,4,2,3,0,0,0,1,17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,4,0,0,0,0,0,0
11,Kildare,0,5,0,6,1,0,1,1,12,39,10,2,2,2,9,22,0,13,3,16,5,9,0,12,23,0,16,16,30,2,5,4,0,0,18,19,0,1,32,1,40,0,4,0,5,0,24,16,116,133,0,0,0,21,53,26,53,101,7,6,2,6,3,19,2,2,7,6,1,1,11,5,4,5,6,26,5,7,4,0,7,19,7,1,0,23,3,4,23,27,27,6,18,1,0,2,2,2,0,1,4,24,30,0,0,8,8,2,6,10,1,35,11,1,0,2,7,96,99,25,6,109,100,87,1,6,187,84,189,0,10,52,102,6,23,1,6,3,5,4,26,25,33,22,2,2,0,0,0,0,0,0,0,0,0,5,0,0,14,18,0,1,2,0,0,0,1,0,5,1,0,0,1,3,0,8,1,1,2,3,1,0,0,20,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,3,1,0,2,1,1,0,0,0,0
12,Kerry,0,0,0,1,0,0,0,0,1,3,1,0,0,0,0,11,0,1,0,12,2,5,0,5,6,0,5,0,5,0,3,4,0,1,0,0,0,0,50,1,49,0,1,0,0,0,6,4,24,59,0,0,1,20,12,8,46,69,3,1,0,1,1,2,0,1,1,2,0,0,0,0,1,1,0,1,0,1,0,0,0,2,1,0,0,11,1,1,7,16,11,2,10,0,0,0,2,1,0,1,2,25,5,0,0,2,2,0,3,0,0,5,2,0,0,1,7,17,9,3,1,45,61,38,1,5,89,25,78,0,0,9,24,2,0,1,0,0,2,2,9,3,15,3,1,2,0,0,0,1,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,1,2,1,1,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0
13,Waterford,0,1,1,3,1,1,0,0,5,10,3,2,0,0,4,6,0,3,0,3,1,2,1,3,4,1,12,15,23,0,1,1,0,0,11,3,0,2,20,0,24,4,2,0,1,0,16,5,37,52,0,0,0,9,16,6,23,33,0,1,2,1,0,2,0,4,5,4,1,2,6,1,3,5,2,12,0,1,0,0,4,6,2,0,1,12,1,3,6,13,8,4,7,0,0,0,2,2,1,0,1,17,1,0,0,1,1,0,0,8,0,6,9,0,1,2,8,31,14,2,0,32,45,39,0,3,52,37,75,0,4,17,35,3,5,0,1,3,5,3,10,5,15,8,0,1,0,1,0,0,1,1,0,0,0,5,1,1,5,5,0,0,2,0,0,0,0,3,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,14,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,1,0,0,1,1,0,1,1,1,0,1,0,0
14,Westmeath,0,0,0,3,0,1,0,0,0,4,4,0,0,1,2,3,0,0,0,3,0,2,0,3,2,0,4,0,10,0,0,1,0,0,2,2,0,0,9,0,15,1,0,1,2,1,11,5,26,38,0,0,0,8,12,8,17,26,1,0,0,0,2,2,0,2,2,1,0,0,2,0,1,1,0,2,0,0,0,0,0,2,0,1,0,9,1,2,9,18,6,3,7,0,1,3,0,1,0,0,1,9,2,0,0,1,0,0,0,2,0,5,1,0,0,0,4,14,11,7,2,31,52,32,1,4,62,26,61,0,0,5,14,3,1,0,1,2,0,1,5,1,4,3,0,3,0,0,0,0,0,0,0,0,0,1,0,1,7,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,9,4,0,1,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
15,Wexford,0,0,0,2,0,0,0,0,2,12,1,1,0,0,7,10,0,1,1,7,2,2,0,2,6,1,7,8,24,1,1,4,2,0,4,2,1,0,16,0,27,3,1,0,5,0,10,5,48,54,0,0,0,11,18,6,31,24,2,0,0,0,2,0,0,0,2,1,1,1,4,0,3,3,0,8,3,1,2,0,0,10,5,2,0,28,3,7,7,17,7,1,17,0,0,1,2,1,2,0,4,23,5,0,0,1,1,0,3,15,0,10,4,0,0,2,9,25,18,9,1,60,65,53,0,5,74,46,89,0,2,26,49,4,5,0,2,0,0,3,17,8,21,7,0,0,0,0,1,0,2,0,0,0,0,1,0,0,5,3,0,2,0,0,0,0,0,6,1,1,0,0,2,3,2,7,3,1,3,0,0,0,0,6,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0
16,Mayo,0,1,0,1,0,0,0,0,2,5,2,0,0,0,0,1,0,2,0,2,0,2,1,0,1,0,0,2,4,0,0,0,0,2,0,4,0,0,20,0,22,0,1,1,0,0,9,7,30,40,0,0,0,5,6,0,11,28,1,1,0,0,0,0,0,1,0,2,1,0,1,0,3,2,0,8,2,1,0,0,1,5,4,1,0,10,0,1,4,10,6,3,12,0,0,2,2,1,0,0,2,13,5,0,0,0,0,0,5,2,2,7,1,0,0,2,10,7,4,2,3,39,45,48,1,2,60,24,72,0,1,10,10,2,3,0,2,1,0,1,1,1,3,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,6,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,2,2,2,0,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17,Roscommon,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,2,1,0,0,1,0,0,3,1,0,1,1,0,0,0,3,1,0,0,8,0,8,0,0,0,0,0,2,0,4,17,0,0,0,2,1,1,5,5,0,0,0,0,0,0,0,2,0,0,3,1,0,0,0,0,0,6,0,0,1,0,0,1,0,0,0,5,0,3,3,7,7,2,6,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3,11,11,3,1,42,40,27,0,1,73,18,51,0,0,7,8,0,2,0,1,0,0,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Laois,0,0,0,2,1,0,0,0,1,2,2,0,0,0,0,2,0,1,0,2,0,0,0,1,1,0,5,4,6,0,0,1,0,0,3,5,0,1,12,0,35,2,3,4,1,3,0,2,19,17,0,0,0,12,17,2,23,37,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,4,0,0,0,0,1,5,1,0,0,1,0,2,2,6,5,0,5,1,0,4,0,0,0,0,1,4,4,0,0,1,0,0,2,9,0,13,1,1,0,1,6,17,15,3,0,16,18,17,0,2,38,11,26,0,0,8,11,0,1,0,1,0,0,2,1,2,4,1,0,0,0,0,0,0,1,0,0,0,0,9,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,1,1,0,0,0,0,16,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
19,Offaly,0,1,1,0,0,0,0,0,1,0,2,1,0,0,1,2,0,0,0,0,1,1,0,1,2,0,0,1,3,1,1,0,0,1,0,1,0,0,8,0,11,1,0,0,0,0,8,5,13,34,0,0,0,11,8,1,15,15,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,3,0,0,0,0,1,3,0,0,1,3,0,0,2,12,3,2,8,0,0,1,0,0,0,0,1,13,0,0,0,0,1,0,0,4,0,3,1,1,0,0,2,10,6,4,3,25,31,33,0,4,67,22,48,0,0,7,12,1,1,0,0,0,0,0,3,3,4,2,0,1,0,0,1,0,3,0,0,0,0,2,2,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3,2,4,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
20,Carlow,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,4,0,0,0,1,0,0,0,0,2,0,3,3,9,0,0,0,0,0,1,0,0,0,7,0,5,0,0,0,0,0,6,6,22,21,0,0,0,7,10,2,16,18,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,6,0,1,0,0,0,10,0,0,0,3,0,0,2,5,2,1,3,0,0,1,0,0,2,0,2,9,1,0,0,0,1,0,2,1,0,4,1,0,0,0,3,9,9,4,1,38,38,21,1,5,31,16,34,0,1,6,4,0,2,1,0,0,0,2,3,3,3,1,0,1,0,0,0,0,2,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
21,Sligo,0,0,1,1,0,0,0,0,1,5,1,0,0,0,3,1,0,2,0,0,0,0,0,1,0,0,0,0,4,2,2,1,0,1,3,2,0,0,20,1,15,0,0,0,0,0,6,3,14,26,0,0,0,2,1,1,11,20,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,5,0,0,0,0,0,2,2,0,0,4,1,1,0,6,0,2,4,0,0,0,1,1,1,1,4,14,4,0,0,0,1,0,1,1,1,5,2,0,0,3,3,6,4,2,1,27,36,23,0,5,26,22,40,0,1,4,9,2,3,0,1,0,0,1,0,1,4,2,0,0,0,0,0,0,1,0,0,0,0,2,0,1,2,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22,Longford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,3,1,13,13,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,2,1,0,1,3,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,3,2,0,0,0,0,3,2,4,1,26,19,15,1,2,23,18,29,0,0,3,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Monaghan,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,1,0,3,0,1,0,1,3,0,0,1,1,0,1,0,1,0,6,9,0,0,1,0,7,0,1,0,0,0,5,2,8,24,0,0,0,0,0,1,3,6,0,2,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2,5,0,1,0,0,0,4,0,0,0,3,0,0,3,4,1,0,5,1,0,2,0,1,0,0,1,13,1,0,0,1,0,0,0,0,1,4,0,0,0,2,3,9,3,0,0,12,12,12,0,0,21,3,17,0,0,1,0,1,0,1,0,1,0,0,0,1,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Leitrim,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,1,0,0,6,0,6,5,0,0,0,1,2,0,1,4,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,2,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,2,1,1,8,10,10,1,0,12,8,15,0,0,1,5,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Cavan,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,3,0,5,0,0,0,0,0,0,1,0,0,12,0,20,0,0,1,1,0,2,0,15,32,0,0,1,0,3,1,7,6,1,1,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,5,0,0,2,0,0,3,1,0,0,5,0,2,3,17,9,2,10,0,0,0,0,0,0,0,1,7,0,0,0,2,0,0,0,0,1,3,4,0,0,0,2,7,5,4,4,46,36,33,0,5,54,23,56,0,0,0,6,0,1,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
